iter	RMSE
0	4.58081856
1	4.498936951
2	4.439553942
3	4.360225376
4	4.238741407
5	4.206811655
6	4.114224478
7	4.059834367
8	3.981447747
9	3.900124581
10	3.830222575
11	3.751085437
12	3.670076552
13	3.592771855
14	3.566209352
15	3.488820011
16	3.403206698
17	3.337458673
18	3.264607236
19	3.216624301
20	3.122536224
21	3.066712852
22	2.995035125
23	2.937335433
24	2.871882758
25	2.825109492
26	2.785823317
27	2.747455975
28	2.699123519
29	2.640405909
30	2.603969298
31	2.568258962
32	2.541964155
33	2.514404543
34	2.472253947
35	2.422600535
36	2.394199001
37	2.359610005
38	2.330651535
39	2.289421053
40	2.249820491
41	2.210970412
42	2.197606044
43	2.154038337
44	2.114035891
45	2.085052934
46	2.065398209
47	2.027338
48	1.986812521
49	1.963431743
50	1.942065552
51	1.915889094
52	1.877828373
53	1.854521354
54	1.815682297
55	1.788580594
56	1.77309463
57	1.748862535
58	1.72825057
59	1.698166279
60	1.679573886
61	1.651422963
62	1.630474092
63	1.59545963
64	1.568049659
65	1.534648181
66	1.510001817
67	1.48257085
68	1.470370962
69	1.449980818
70	1.431456706
71	1.414774196
72	1.404435092
73	1.382227683
74	1.362239377
75	1.342226255
76	1.323373716
77	1.302098208
78	1.278334743
79	1.264243817
80	1.242652299
81	1.227420203
82	1.210725206
83	1.19421026
84	1.17543181
85	1.15785369
86	1.144090114
87	1.133383821
88	1.119925656
89	1.097354049
90	1.080273399
91	1.064773923
92	1.053126451
93	1.033154088
94	1.022134914
95	1.011580396
96	1.001905222
97	0.9842302822
98	0.97164463
99	0.9621262807
