iter	Passed	Remaining
0	0	60
1	1	69
2	2	68
3	3	78
4	3	73
5	4	65
6	4	63
7	5	60
8	5	59
9	6	58
10	7	57
11	8	58
12	8	58
13	9	57
14	9	56
15	10	55
16	11	54
17	11	54
18	12	54
19	13	53
20	14	52
21	14	51
22	16	54
23	17	53
24	17	52
25	18	51
26	18	50
27	19	49
28	19	48
29	20	48
30	21	48
31	22	47
32	22	46
33	23	45
34	24	44
35	24	44
36	25	43
37	26	42
38	26	41
39	27	40
40	27	40
41	29	40
42	31	41
43	31	40
44	32	39
45	33	39
46	33	38
47	35	38
48	35	37
49	36	36
50	37	35
51	37	34
52	38	34
53	39	33
54	39	32
55	40	31
56	41	30
57	42	30
58	43	29
59	43	29
60	44	28
61	44	27
62	45	26
63	45	25
64	46	25
65	47	24
66	48	23
67	48	22
68	49	22
69	50	21
70	50	20
71	51	20
72	52	19
73	53	18
74	53	17
75	54	17
76	54	16
77	55	15
78	55	14
79	56	14
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	59	9
86	60	9
87	61	8
88	61	7
89	62	6
90	63	6
91	63	5
92	64	4
93	65	4
94	65	3
95	66	2
96	67	2
97	68	1
98	69	0
99	69	0
